Dampierre les Bois,47.50616600,6.91270100
De Gaulle,47.63589900,6.80751400
De Lattre,47.51371100,7.00756800
De Vinci,47.63214800,6.84939100
Delle Gare,47.50589000,7.00821900
Denfert Rochereau,47.63407900,6.85740100
Denney,47.65921900,6.91820400
Deshaie,47.64558000,6.86986000
Devant les Monts,47.66940200,6.90436400
Dodillet,47.50763200,6.91195200
Dorans,47.58959300,6.83628100
Doubs,47.50602900,6.98841800
Douce,47.58964300,6.84206500
Dubail,47.63559600,6.84947100
Ecrevisse,47.57991500,6.96975800
Ecureuils,47.66629200,6.88900800
Egalité,47.68722100,6.83797700
Egrins,47.67094000,6.79259500
Eloie,47.69023100,6.87358000
Eluard,47.61677700,6.86160900
Eparses,47.71928900,6.83261000
Eschêne,47.58618000,6.95973900
Espace Gantner,47.56379600,6.91713400
Essert,47.63429700,6.81885700
Etang,47.66337400,7.02769800
Etang Prévot,47.68512700,7.02708200
Etangs Charmottes,47.72827400,6.98733200
Evette-Salbert,47.67693800,6.79980500
Fahy,47.66640300,6.96758600
Favernot,47.62877400,6.99369400
Faverois,47.52085500,7.03450800
Favery,47.67096000,6.78728900
Felon,47.70490300,6.97722000
Ferrette,47.65445100,6.84408100
Fg d'Alsace,47.65338000,6.89666400
Fg de Lyon,47.63498000,6.85028900
Floralies,47.62563800,6.92372600
Florimont,47.50996200,7.06913100
Foch,47.63754400,6.85877400
Fonderie,47.73355400,6.84100800
Fontaine,47.66171500,7.00020200
Fontaine du Haut,47.48923000,6.97559600
Fonteneilles,47.48519000,6.92079000
Fontenelle,47.62159300,6.95734200
Fontenottes,47.72295300,6.88584300
Forge Musée,47.72245900,6.92053000
Fougerets,47.73225900,6.83003000
Fougères,47.58728900,6.84032900
Foussemagne,47.63470000,7.00236000
Foyer Rural,47.73621300,6.97213800
Frais,47.64524000,6.98677700
Froideval l'Assise,47.60820600,6.84182100
Frézard,47.64618900,6.79000900
Fêche-l'Église,47.50505400,6.95213900
Galants,47.63086700,6.92459600
